timestamp,mid_price,trade_size,trade_direction,hawkes_intensity,bid_price,ask_price,bid_size,ask_size,trade_price
2026-06-12 09:15:02.084159,1100.04,150.0,-1.0,0.3,1100.01,1100.06,458,963,1100.01
2026-06-12 09:15:02.301868,1100.08,30.0,-1.0,1.1109460713483952,1100.05,1100.1,988,616,1100.05
2026-06-12 09:15:02.538034,1100.15,285.0,-1.0,1.614565324995967,1100.12,1100.18,945,438,1100.12
2026-06-12 09:15:02.552458,1100.08,105.0,1.0,2.750120441711145,1100.03,1100.13,957,271,1100.13
2026-06-12 09:15:02.553174,1100.1,1305.0,-1.0,3.945419956034712,1100.05,1100.15,561,414,1100.05
2026-06-12 09:15:03.256708,1100.11,75.0,-1.0,1.6657080290561495,1100.08,1100.14,837,699,1100.08
2026-06-12 09:15:03.265494,1100.16,345.0,1.0,2.825447658909102,1100.11,1100.21,304,855,1100.21
2026-06-12 09:15:03.357862,1100.17,195.0,-1.0,3.454799078655989,1100.12,1100.22,650,247,1100.12
2026-06-12 09:15:03.393066,1100.28,150.0,1.0,4.387409813514806,1100.23,1100.33,148,382,1100.33
2026-06-12 09:15:03.577056,1100.33,480.0,1.0,4.096756205287812,1100.28,1100.38,678,298,1100.38
2026-06-12 09:15:04.460181,1100.28,30.0,1.0,1.3193480658511965,1100.25,1100.3,532,935,1100.3
2026-06-12 09:15:04.511619,1100.29,30.0,-1.0,2.3230894547479397,1100.24,1100.34,323,956,1100.24
2026-06-12 09:15:04.913530,1100.35,60.0,1.0,1.86345829078305,1100.32,1100.38,924,355,1100.38
2026-06-12 09:15:05.165884,1100.39,45.0,1.0,2.054607856598579,1100.36,1100.42,643,171,1100.42
2026-06-12 09:15:05.554780,1100.4,45.0,1.0,1.7671965729936445,1100.38,1100.43,167,464,1100.43
2026-06-12 09:15:05.647672,1100.41,60.0,-1.0,2.556518207036145,1100.36,1100.46,812,949,1100.36
2026-06-12 09:15:08.450578,1100.48,315.0,-1.0,0.32225985547256414,1100.46,1100.51,625,404,1100.46
2026-06-12 09:15:13.472982,1100.54,30.0,-1.0,0.30014487701290943,1100.51,1100.56,439,562,1100.51
2026-06-12 09:15:13.931332,1100.53,15.0,1.0,0.8259300902700142,1100.5,1100.56,814,920,1100.56
2026-06-12 09:15:15.779525,1100.51,135.0,-1.0,0.3619776543185775,1100.48,1100.54,659,607,1100.48
2026-06-12 09:15:17.407764,1100.43,120.0,1.0,0.36732998731207644,1100.4,1100.46,381,212,1100.46
2026-06-12 09:15:18.354548,1100.39,360.0,1.0,0.5305473545932005,1100.36,1100.42,162,273,1100.42
2026-06-12 09:15:23.482488,1100.33,150.0,1.0,0.30014022887077363,1100.3,1100.36,625,372,1100.36
2026-06-12 09:15:23.732538,1100.29,375.0,1.0,1.0651740670644796,1100.26,1100.32,645,441,1100.32
2026-06-12 09:15:24.002479,1100.3,465.0,-1.0,1.5088708700001747,1100.27,1100.32,680,350,1100.27
2026-06-12 09:15:24.510488,1100.32,30.0,-1.0,1.2653555893593003,1100.29,1100.34,659,372,1100.29
2026-06-12 09:15:24.902733,1100.3,225.0,1.0,1.3688075141928604,1100.27,1100.32,613,260,1100.32
2026-06-12 09:15:24.966621,1100.24,15.0,-1.0,2.3223425853916635,1100.19,1100.29,373,665,1100.19
2026-06-12 09:15:25.518941,1100.19,1230.0,1.0,1.4923576910345973,1100.16,1100.22,286,506,1100.22
2026-06-12 09:15:26.805496,1100.25,45.0,-1.0,0.536095468681596,1100.22,1100.28,835,466,1100.22
